"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Markdown", "vue", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\.eslintrc.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 1, 1, 20
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\README.md", "Markdown", 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\jsconfig.json", "JSON with Comments", 0, 8, 0, 0, 0, 0, 0, 12, 0, 20
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\package-lock.json", "JSON", 0, 0, 10466, 0, 0, 0, 0, 0, 1, 10467
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\package.json", "JSON", 0, 0, 66, 0, 0, 0, 0, 0, 1, 67
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 20, 2, 3, 25
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\public\reset.css", "CSS", 0, 0, 0, 0, 0, 122, 0, 21, 24, 167
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\App.vue", "vue", 0, 0, 0, 0, 56, 0, 0, 0, 12, 68
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\BookCard.vue", "vue", 0, 0, 0, 0, 755, 0, 0, 3, 59, 817
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Book\BookRow.vue", "vue", 0, 0, 0, 0, 8, 0, 0, 0, 5, 13
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Book\Booklist.vue", "vue", 0, 0, 0, 0, 8, 0, 0, 0, 5, 13
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Book\RankBoardSingle.vue", "vue", 0, 0, 0, 0, 299, 0, 0, 0, 7, 306
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\CollectionCard.vue", "vue", 0, 0, 0, 0, 123, 0, 0, 0, 11, 134
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\DetailedGroupCard.vue", "vue", 0, 0, 0, 0, 98, 0, 0, 0, 11, 109
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\DetailedMessageCard.vue", "vue", 0, 0, 0, 0, 159, 0, 0, 14, 15, 188
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\DetailedPostCard.vue", "vue", 0, 0, 0, 0, 121, 0, 0, 0, 16, 137
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\DetailedWorksCard.vue", "vue", 0, 0, 0, 0, 81, 0, 0, 0, 11, 92
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Editor\Editor.vue", "vue", 0, 0, 0, 0, 88, 0, 0, 0, 3, 91
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Editor\VideoEditor.vue", "vue", 0, 0, 0, 0, 122, 0, 0, 0, 6, 128
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\HelloWorld.vue", "vue", 0, 0, 0, 0, 57, 0, 0, 1, 3, 61
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\LoadingEffect.vue", "vue", 0, 0, 0, 0, 94, 0, 0, 0, 15, 109
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\ManageInfo.vue", "vue", 0, 0, 0, 0, 196, 0, 0, 0, 17, 213
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\MiniCard.vue", "vue", 0, 0, 0, 0, 66, 0, 0, 0, 7, 73
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\NavBar.vue", "vue", 0, 0, 0, 0, 384, 0, 0, 4, 36, 424
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\NavBarBackGround.vue", "vue", 0, 0, 0, 0, 21, 0, 0, 0, 4, 25
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\NavBarCartoon.vue", "vue", 0, 0, 0, 0, 39, 0, 0, 0, 2, 41
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\NavigationBar.vue", "vue", 0, 0, 0, 0, 147, 0, 0, 6, 15, 168
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Player.vue", "vue", 0, 0, 0, 0, 41, 0, 0, 0, 1, 42
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\ScrollingScreenCard.vue", "vue", 0, 0, 0, 0, 50, 0, 0, 0, 5, 55
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\SubscribeCard.vue", "vue", 0, 0, 0, 0, 190, 0, 0, 0, 29, 219
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\TopicCard.vue", "vue", 0, 0, 0, 0, 125, 0, 0, 0, 17, 142
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\UniversalCard.vue", "vue", 0, 0, 0, 0, 764, 0, 0, 3, 59, 826
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\UploadImage.vue", "vue", 0, 0, 0, 0, 357, 0, 0, 0, 29, 386
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Video\GroupCard.vue", "vue", 0, 0, 0, 0, 73, 0, 0, 0, 8, 81
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Video\HotComment.vue", "vue", 0, 0, 0, 0, 508, 0, 0, 0, 34, 542
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Video\HotComments.vue", "vue", 0, 0, 0, 0, 54, 0, 0, 0, 6, 60
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Video\HotVideo.vue", "vue", 0, 0, 0, 0, 65, 0, 0, 0, 9, 74
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Video\ItemInfo.vue", "vue", 0, 0, 0, 0, 62, 0, 0, 0, 4, 66
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Video\Lunbo.vue", "vue", 0, 0, 0, 0, 78, 0, 0, 13, 10, 101
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Video\RankBoardSingle.vue", "vue", 0, 0, 0, 0, 289, 0, 0, 0, 6, 295
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Video\Rate.vue", "vue", 0, 0, 0, 0, 48, 0, 0, 0, 5, 53
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Video\RateBoard.vue", "vue", 0, 0, 0, 0, 173, 0, 0, 2, 6, 181
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Video\RateWithNumber.vue", "vue", 0, 0, 0, 0, 23, 0, 0, 0, 2, 25
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Video\RateWithNumber_M.vue", "vue", 0, 0, 0, 0, 23, 0, 0, 0, 2, 25
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Video\ReviewSection.vue", "vue", 0, 0, 0, 0, 106, 0, 0, 0, 8, 114
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Video\ReviewSmall.vue", "vue", 0, 0, 0, 0, 416, 0, 0, 0, 14, 430
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Video\SectionTitle.vue", "vue", 0, 0, 0, 0, 26, 0, 0, 0, 3, 29
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Video\TopicCard.vue", "vue", 0, 0, 0, 0, 56, 0, 0, 0, 7, 63
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Video\VideoBookItem.vue", "vue", 0, 0, 0, 0, 42, 0, 0, 0, 1, 43
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Video\VideoHengCard.vue", "vue", 0, 0, 0, 0, 87, 0, 0, 0, 4, 91
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\Video\VideoRow.vue", "vue", 0, 0, 0, 0, 71, 0, 0, 0, 7, 78
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\group\GroupAdminApplyBar.vue", "vue", 0, 0, 0, 0, 261, 0, 0, 0, 35, 296
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\group\GroupCard.vue", "vue", 0, 0, 0, 0, 218, 0, 0, 9, 21, 248
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\group\GroupCardWithTopic.vue", "vue", 0, 0, 0, 0, 308, 0, 0, 9, 34, 351
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\group\GroupCreateBar.vue", "vue", 0, 0, 0, 0, 280, 0, 0, 20, 27, 327
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\group\GroupList.vue", "vue", 0, 0, 0, 0, 117, 0, 0, 9, 11, 137
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\CommentUnderFloor.vue", "vue", 0, 0, 0, 0, 158, 0, 0, 5, 20, 183
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\PictureChooser.vue", "vue", 0, 0, 0, 0, 90, 0, 0, 7, 2, 99
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\PostCard.vue", "vue", 0, 0, 0, 0, 458, 0, 0, 10, 38, 506
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\PostCardText.vue", "vue", 0, 0, 0, 0, 133, 0, 0, 4, 10, 147
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\PostCardUserInfo.vue", "vue", 0, 0, 0, 0, 56, 0, 0, 0, 6, 62
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\PostCreateBar.vue", "vue", 0, 0, 0, 0, 270, 0, 0, 14, 26, 310
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\PostFloor.vue", "vue", 0, 0, 0, 0, 238, 0, 0, 14, 22, 274
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\PostReplyBar.vue", "vue", 0, 0, 0, 0, 316, 0, 0, 8, 31, 355
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\PostSortLabel.vue", "vue", 0, 0, 0, 0, 63, 0, 0, 1, 6, 70
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\ReportInputBox.vue", "vue", 0, 0, 0, 0, 336, 0, 0, 39, 32, 407
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\button\CommentReplyInputBox.vue", "vue", 0, 0, 0, 0, 162, 0, 0, 3, 10, 175
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\button\FloorReportButton.vue", "vue", 0, 0, 0, 0, 73, 0, 0, 1, 6, 80
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\button\LikeButtonGroup.vue", "vue", 0, 0, 0, 0, 219, 0, 0, 1, 9, 229
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\button\LikeFavButtonGroup.vue", "vue", 0, 0, 0, 0, 355, 0, 0, 11, 25, 391
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\button\OnlyLzButton.vue", "vue", 0, 0, 0, 0, 91, 0, 0, 0, 6, 97
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\button\OnlySelectButton.vue", "vue", 0, 0, 0, 0, 98, 0, 0, 6, 10, 114
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\button\PostOperateButton.vue", "vue", 0, 0, 0, 0, 232, 0, 0, 0, 20, 252
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\button\PostReportButton.vue", "vue", 0, 0, 0, 0, 77, 0, 0, 1, 6, 84
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\button\PostTopicButton.vue", "vue", 0, 0, 0, 0, 79, 0, 0, 1, 6, 86
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\post\button\ScrollToTopButton.vue", "vue", 0, 0, 0, 0, 34, 0, 0, 2, 3, 39
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\review\commentCardUserInfo.vue", "vue", 0, 0, 0, 0, 52, 0, 0, 0, 6, 58
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\review\commentFirstLevel.vue", "vue", 0, 0, 0, 0, 143, 0, 0, 10, 4, 157
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\review\commentReply.vue", "vue", 0, 0, 0, 0, 127, 0, 0, 3, 9, 139
"c:\Users\Chenrui\Desktop\SE1\DouBanChan-Fronted\douban-chan\src\components\review\commentSecondLevel.vue", "vue", 0, 0, 0, 0, 147, 0, 0, 3, 11, 161
